,electrode no,parcels
0,midline mask,0
1,Fp1,1
2,Fp2,2
3,F3,3
4,Fz,4
5,F4,5
6,F8,6
7,FC5,7
8,FC1,8
9,FC2,9
10,FC6,10
11,T7,11
12,C3,12
13,Cz,13
14,C4,14
15,CP5,15
16,CP1,16
17,CP2,17
18,CP6,18
19,AFz,19
20,P7,20
21,P3,21
22,Pz,22
23,P4,23
24,P8,24
25,PO9,25
26,O1,26
27,Oz,27
28,O2,28
29,PO10,29
30,AF7,30
31,AF3,31
32,AF4,32
33,AF8,33
34,F5,34
35,F1,35
36,F2,36
37,F6,37
38,FT7,38
39,FC3,39
40,FC4,40
41,FT8,41
42,C5,42
43,C1,43
44,C2,44
45,C6,45
46,TP7,46
47,CP3,47
48,CPz,48
49,CP4,49
50,TP8,50
51,P5,51
52,P1,52
53,P2,53
54,P6,54
55,PO7,55
56,PO3,56
57,POz,57
58,PO4,58
59,PO8,59
